,Estado,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2446,PERNAMBUCO,Caatinga,,,,3.2,-9.20627,-36.77128
2447,CEARÁ,Caatinga,,,,13.4,-5.26225,-37.90368
2448,RIO GRANDE DO NORTE,Caatinga,,,,11.4,-5.76121,-36.79852
2449,ALAGOAS,Caatinga,,,,14.2,-9.46039,-36.96363
2450,ALAGOAS,Caatinga,,,,2.7,-9.34374,-37.2265
2451,MARANHÃO,Cerrado,,,,7.9,-3.32201,-42.30416
2452,PARAÍBA,Caatinga,,,,7.9,-6.08685,-37.3121
2453,PERNAMBUCO,Caatinga,,,,8.5,-8.14904,-36.41249
2454,PERNAMBUCO,Caatinga,,,,3.0,-8.98003,-37.2566
2455,ALAGOAS,Caatinga,,,,5.1,-9.33815,-36.90682
2456,CEARÁ,Caatinga,,,,3.1,-5.5106,-39.08867
2457,PARAÍBA,Caatinga,,,,4.6,-7.19651,-35.56861
2458,RIO GRANDE DO NORTE,Caatinga,,,,3.3,-5.96749,-35.92395
2459,CEARÁ,Caatinga,,,,4.7,-4.78946,-37.96454
2460,PERNAMBUCO,Caatinga,,,,8.6,-7.95767,-35.79478
2461,PARAÍBA,Caatinga,,,,4.5,-6.47142,-35.68509
2462,ALAGOAS,Caatinga,,,,3.6,-9.15674,-37.34234
2463,CEARÁ,Caatinga,,,,4.8,-5.23509,-38.56949
2464,PARAÍBA,Caatinga,,,,6.2,-7.07311,-37.32575
2465,RIO GRANDE DO NORTE,Caatinga,,,,8.5,-6.10971,-36.83023
2466,PERNAMBUCO,Caatinga,,,,2.3,-8.95651,-37.25184
2467,PARÁ,Amazônia,,,,3.7,-2.0431,-54.21928
2468,RORAIMA,Amazônia,,,,8.3,3.59911,-60.4911
2469,RORAIMA,Amazônia,,,,21.0,3.1155,-60.2734
2470,RORAIMA,Amazônia,,,,29.9,3.11306,-60.28751
2471,RORAIMA,Amazônia,,,,21.0,3.12268,-60.27461
2472,RORAIMA,Amazônia,,,,10.2,3.60036,-60.48397
2473,RORAIMA,Amazônia,,,,10.4,4.50499,-60.23795
2474,RORAIMA,Amazônia,,,,8.3,3.59189,-60.48983
2475,RORAIMA,Amazônia,,,,6.7,3.15873,-60.23655
2476,RORAIMA,Amazônia,,,,10.2,3.59316,-60.48264
2477,SANTA CATARINA,Mata Atlântica,,,,4.0,-26.47488,-48.98054
2478,PARANÁ,Mata Atlântica,,,,4.5,-24.93427,-52.24766
2479,SÃO PAULO,Mata Atlântica,,,,2.3,-23.47234,-46.45149
2480,PARANÁ,Mata Atlântica,,,,3.8,-23.07225,-52.75471
2481,ALAGOAS,Mata Atlântica,,,,55.7,-9.73693,-36.00476
2482,ALAGOAS,Mata Atlântica,,,,22.3,-10.07856,-36.20794
2483,ALAGOAS,Mata Atlântica,,,,28.9,-9.73552,-35.99778
2484,ALAGOAS,Mata Atlântica,,,,34.4,-10.07593,-36.1946
2485,ALAGOAS,Caatinga,,,,8.9,-9.28083,-36.75579
2486,ALAGOAS,Mata Atlântica,,,,22.3,-10.07725,-36.2013
2487,ALAGOAS,Mata Atlântica,,,,22.3,-10.07032,-36.2027
2488,CEARÁ,Caatinga,,,,0.9,-4.65963,-40.82573
2489,PARÁ,Amazônia,,,,5.6,-3.92664,-47.21903
2490,PARÁ,Amazônia,,,,5.7,-1.74303,-55.35393
2491,CEARÁ,Caatinga,,,,3.9,-2.97571,-41.05566
2492,PARÁ,Amazônia,,,,5.3,-3.92748,-47.22227
2493,RORAIMA,Amazônia,,,,2.5,4.72309,-60.14277
2494,RORAIMA,Amazônia,,,,17.2,3.59278,-60.49716
2495,RORAIMA,Amazônia,,,,5.3,2.00246,-61.45083
2496,RORAIMA,Amazônia,,,,6.7,3.12386,-60.27255
2497,RORAIMA,Amazônia,,,,13.1,3.5654,-60.51403
2498,RORAIMA,Amazônia,,,,5.9,4.87819,-60.42333
2499,RORAIMA,Amazônia,,,,6.9,4.27285,-61.32517
2500,RORAIMA,Amazônia,,,,4.2,3.93222,-60.06535
2501,RORAIMA,Amazônia,,,,4.0,3.36731,-60.40543
2502,RORAIMA,Amazônia,,,,3.6,3.49928,-60.28275
2503,RORAIMA,Amazônia,,,,4.0,3.3729,-60.40106
2504,RORAIMA,Amazônia,,,,16.9,3.10467,-60.30083
2505,RORAIMA,Amazônia,,,,5.2,1.93864,-60.84396
2506,RORAIMA,Amazônia,,,,4.2,3.93298,-60.06059
2507,RORAIMA,Amazônia,,,,6.6,3.5849,-60.48536
2508,RORAIMA,Amazônia,,,,9.9,3.1055,-60.29565
2509,RORAIMA,Amazônia,,,,3.6,3.49456,-60.28198
2510,RORAIMA,Amazônia,,,,4.9,2.00254,-61.45132
2511,RORAIMA,Amazônia,,,,19.5,3.56453,-60.5192
2512,RORAIMA,Amazônia,,,,5.0,4.42709,-61.08384
2513,RORAIMA,Amazônia,,,,4.4,4.73616,-60.09257
2514,RORAIMA,Amazônia,,,,17.2,3.59362,-60.49202
2515,RORAIMA,Amazônia,,,,5.3,1.47161,-59.96107
2516,RORAIMA,Amazônia,,,,5.9,2.00296,-61.44762
2517,RORAIMA,Amazônia,,,,14.8,3.59193,-60.50232
2518,RORAIMA,Amazônia,,,,5.3,1.47081,-59.96625
2519,RORAIMA,Amazônia,,,,5.2,1.93313,-60.84608
2520,RORAIMA,Amazônia,,,,2.9,3.37259,-60.40349
2521,RORAIMA,Amazônia,,,,24.9,3.56554,-60.51575
2522,RORAIMA,Amazônia,,,,8.4,4.74978,-60.18065
2523,RORAIMA,Amazônia,,,,6.4,4.87985,-60.42575
2524,RORAIMA,Amazônia,,,,6.0,4.01056,-60.10329
2525,RORAIMA,Amazônia,,,,2.9,3.36782,-60.40272
2526,RORAIMA,Amazônia,,,,9.5,3.50044,-60.28484
2527,RORAIMA,Amazônia,,,,6.3,3.59756,-60.49796
2528,RORAIMA,Amazônia,,,,22.0,3.59447,-60.48687
2529,RORAIMA,Amazônia,,,,5.4,2.00307,-61.44809
